Codi,Provincia,Cla,Subclase,Especie,Rumbo,Dist,Fac,CD,DiamIf3,DiamIf2,HeiIf3
170004,17,A,1,022,1,14.19,14.14,30,29.5,27.5,6.5
170005,17,A,1,022,0,22.89,5.09,55,56.3,49.05,14
170006,17,A,1,022,24,9.8,31.83,25,24.9,22.75,14.5
170007,17,A,1,022,0,13.19,14.14,40,39.15,30.8,10
170009,17,A,1,022,61,9.69,31.83,25,27,23.75,8.5
170010,17,A,1,022,3,2.9,127.32,25,24.65,22,9
170012,17,A,1,022,62,11.1,14.14,35,34.55,33.8,15.5
170013,17,A,1,022,0,7.3,31.83,25,22.55,21.7,12.5
170014,17,A,1,022,34,1.89,127.32,20,18.65,10.45,5.5
170015,17,A,1,022,5,9.19,31.83,30,30.65,29.6,17
170016,17,A,1,022,13,5.3,31.83,25,27.45,25.2,12.5
170017,17,A,1,022,12,6,31.83,20,19.8,18.55,9.5
170018,17,A,1,022,0,10,14.14,30,31.1,28.7,14.5
170020,17,A,1,022,8,7.8,31.83,15,15.95,15.55,7
170022,17,A,1,022,0,9.8,31.83,20,19.6,15.75,9
170023,17,A,1,021,28,4.59,127.32,20,18.85,10.5,8.5
170027,17,A,1,022,7,6.8,31.83,30,27.65,25.75,16.5
170028,17,A,1,021,3,1.2,127.32,10,12.15,8.35,6.5
170029,17,A,1,022,4,13.8,14.14,30,29.15,27.1,15
170030,17,A,1,022,153,8,31.83,20,21.3,17.6,9.5
170031,17,A,1,022,14,10.8,14.14,40,39.2,34.7,11.5
170032,17,A,1,022,10,15.19,5.09,30,32.2,29,10.5
170033,17,A,1,022,223,13.3,14.14,35,34.85,30.45,11.5
170034,17,A,1,022,18,12.69,14.14,45,43.4,42.85,11.5
170035,17,A,1,021,25,14.8,14.14,35,35.25,33.75,16
170036,17,A,1,042,0,4.09,127.32,15,14.15,10.65,10
170037,17,A,1,021,45,8.89,31.83,30,30.35,22.55,12.5
170038,17,A,1,021,2,11.8,14.14,20,17.75,18.3,10.5
170040,17,A,1,021,16,3,127.32,45,46.35,42.95,14.5
170041,17,A,1,022,15,11.6,14.14,35,33.85,32.65,21
170042,17,A,1,022,21,8,31.83,35,36.85,35.1,20.5
170044,17,A,1,022,31,7,31.83,25,24.55,21.55,14
170045,17,A,1,031,3,7,31.83,50,48.6,46.15,21
170046,17,A,1,031,3,12.6,14.14,25,25.1,22.85,17
170047,17,A,1,021,34,20.5,5.09,50,51.15,47.2,15.5
170048,17,A,1,022,3,12,14.14,35,33.65,29.85,11.5
170049,17,A,1,031,0,7.3,31.83,25,22.8,16.9,10.5
170052,17,A,1,022,394,10.5,14.14,25,24.85,19.85,10
170053,17,A,1,022,0,12.8,14.14,30,28.45,26.1,13.5
