Codi,Provincia,Cla,Subclase,Especie,Rumbo,Dist,Fac,CD,DiamIf3,DiamIf2,HeiIf3
430003,43,A,1,024,6,9.69,31.83,30,28.1,20.45,10.5
430006,43,A,1,023,24,9.69,31.83,30,28.15,23.25,10.5
430007,43,A,1,024,0,8.8,31.83,30,30.35,27.85,10.5
430009,43,A,1,024,15,9.89,31.83,30,30.45,30.35,11
430010,43,A,1,024,33,12.1,14.14,45,47.2,42.05,13.5
430011,43,A,1,044,1,2.09,127.32,10,11.05,9.65,6
430012,43,A,1,024,31,13,14.14,35,32.95,26.5,12.5
430013,43,A,1,024,80,1.89,127.32,40,38.35,35.7,11
430014,43,A,1,025,4,4.3,127.32,15,14.05,11.15,5
430015,43,A,1,024,22,11.19,14.14,30,31.2,27.4,9
430018,43,A,1,024,124,4.8,127.32,30,29,22.6,10
430021,43,A,1,024,314,12.39,14.14,55,54,42.65,13
430022,43,A,1,024,20,1.6,127.32,20,21.45,11.65,10.5
430023,43,A,1,044,0,8.69,31.83,15,16.5,12.75,7
430024,43,A,1,044,154,4.9,127.32,15,14.45,12.55,7
430025,43,A,1,024,63,11.69,14.14,45,45.95,40.05,11.5
430026,43,A,1,044,77,5,31.83,15,16.1,13.4,6
430027,43,A,1,025,51,4.19,127.32,15,14.8,11.75,6
430028,43,A,1,025,131,3.59,127.32,40,38.4,31.85,14
430030,43,A,1,024,33,15.69,5.09,30,28.75,24.05,8
430031,43,A,1,044,39,6.4,31.83,15,16.15,12.8,8.5
430035,43,A,1,025,0,6.5,31.83,20,22.1,20.2,9.5
430037,43,A,1,044,74,8.1,31.83,20,20,18.15,11
430040,43,A,1,024,81,5.19,31.83,10,11.5,8.5,6.5
430041,43,A,1,025,92,9.89,31.83,30,29.9,28.6,12
430042,43,A,1,024,173,11.19,14.14,30,30.1,23.5,9.8
430043,43,A,1,044,38,4.09,127.32,10,12.4,10.55,6.9
430044,43,A,1,024,0,7.4,31.83,20,20.9,19,6.59
430045,43,A,1,024,166,4.3,127.32,15,12.7,7.8,7.19
430046,43,A,1,024,1,3.29,127.32,15,16.9,13.65,7.69
430047,43,A,1,024,159,3.5,127.32,15,12.9,8.7,4
430048,43,A,1,024,55,4.69,127.32,30,29.4,24.35,7.5
430049,43,A,1,024,18,7.8,31.83,25,26.1,22.6,9.89
430050,43,A,1,024,12,4,127.32,45,42.55,29.65,11.19
430052,43,A,1,024,54,13.39,14.14,30,29.65,25.2,8.3
430053,43,A,1,024,3,4.9,127.32,20,17.9,12.75,10.8
430055,43,A,1,024,23,8.8,31.83,20,18.5,12.7,9.39
430056,43,A,1,044,94,7.4,31.83,15,14.3,12.75,6.59
430057,43,A,1,024,120,8.89,31.83,25,23.2,15.45,9.8
430058,43,A,1,024,79,1.89,127.32,15,15,9.3,7.4
430059,43,A,1,044,19,6,31.83,20,20.1,18.4,7.8
430060,43,A,1,024,23,14.19,14.14,40,37.7,29.2,13
430061,43,A,1,024,13,6.59,31.83,20,20.45,16.85,10.89
430063,43,A,1,024,39,5.19,31.83,20,20.05,16.9,7
430064,43,A,1,024,1,9.8,31.83,25,25.9,20.3,10.69
430065,43,A,1,024,17,3.9,127.32,15,14.85,10.2,7.3
430066,43,A,1,024,14,6.19,31.83,30,27.65,22.15,13.6
430067,43,A,1,024,11,8,31.83,25,25.05,19,10.89
430068,43,A,1,024,4,13.3,14.14,30,31.05,24.25,11.39
430069,43,A,1,024,61,4.59,127.32,15,16.3,9.75,5.3
430071,43,A,1,045,261,4.3,127.32,15,15.7,11.65,7.5
430072,43,A,1,026,7,2.9,127.32,20,19,12.95,5.5
430073,43,A,1,045,328,11.19,14.14,40,38.5,32.5,7.5
430074,43,A,1,024,97,14.5,14.14,45,42.65,31.9,13.39
430076,43,A,1,024,25,9.1,31.83,50,48.6,40.6,12
430077,43,A,1,024,9,6.09,31.83,20,21.7,16.25,8.1
430078,43,A,1,045,99,8.19,31.83,35,32.9,28.7,7.9
430080,43,A,1,045,10,4.09,127.32,20,18.3,13.15,9.5
430081,43,A,1,026,5,3.2,127.32,15,13.35,10.95,9.1
430082,43,A,1,045,0,4.3,127.32,10,10.05,8.45,4.4
430085,43,A,1,066,45,8.39,31.83,15,13.9,13.35,4.4
430086,43,A,1,024,30,10.19,14.14,30,29.6,24.85,10.3
430087,43,A,1,024,15,12.3,14.14,30,30.4,24.6,9.5
430088,43,A,1,024,133,12.1,14.14,25,25.45,24.25,6.5
430091,43,A,1,045,1,4.3,127.32,10,10.5,10.8,3.5
430093,43,A,1,068,8,2.5,127.32,10,9.5,7.7,3.7
430094,43,A,1,025,9,1.6,127.32,30,29.05,23,10
430096,43,A,1,025,63,11,14.14,40,41.95,37.35,9.89
430097,43,A,1,021,70,7.9,31.83,20,22.1,17.85,8.8
430100,43,A,1,024,30,6.9,31.83,15,16.1,13.15,4
430101,43,A,1,024,44,5.09,31.83,25,26.1,22.2,5.59
430103,43,A,1,045,226,1.2,127.32,10,9.9,7.8,3.79
